Age,Birth Place,Birthday,College,Current Status,Experience (in seasons),Height (inches),Name,Position,Weight (lbs),Years Played
38,"Gainesville , GA",11/7/1978,Georgia,Retired,2,68,"Wansley, Tim",,186,2002 - 2003
72,"Mcalester , OK",1/11/1945,Oklahoma State,Retired,2,77,"Akin, Harold",,260,1967 - 1968
,"Clifton Heights , PA",11/22/1921,Western Maryland,Retired,1,72,"Phillips, Mike",,208,1947 - 1947
,"New York , NY",7/7/1906,Columbia,Retired,2,74,"Kerrigan, Tom",,200,1929 - 1930
70,"Greensburg , PA",7/3/1946,Miami (Fla.),Retired,5,76,"Tatarek, Bob",,270,1968 - 1972
27,"Fitzgerald , GA",4/7/1990,Georgia Tech,Retired,2,70,"Thomas, Jemea",,195,2014 - 2015
38,"Rochester , MI",5/25/1979,Indiana,Retired,5,75,"Rasmussen, Kemp",,265,2002 - 2006
,"Brooklyn , NY",6/18/1903,Columbia,Retired,1,68,"Pease, George",,185,1929 - 1929
24,"Orlando , FL",5/11/1993,West Virginia,Active,2,72,"Dillon, K.J.",SAF,200,
54,"Whittier , CA",7/10/1962,San Diego State,Retired,1,75,"Saxon, Mike",,205,1985 - 1995
,"Manown , PA",7/16/1919,Duke,Retired,1,71,"Karmazin, Mike",,210,1946 - 1946
,"Turley , MO",5/27/1909,Missouri,Retired,1,74,"Gladden, Mack",,195,1934 - 1934
28,,6/14/1988,West Virginia,Retired,1,66,"Sanders, Jock",,185,2011 - 2011
68,"Villa Rica , GA",11/17/1948,Tennessee,Retired,1,76,"Weaver, Herman",,210,1970 - 1980
,"Phoenix , AZ",12/22/1924,Washburn,Retired,1,75,"Fletcher, Arthur",,215,1950 - 1950
49,"Jackson , MS",7/3/1967,Arkansas State,Retired,1,75,"Fields, Jeff",,320,1995 - 1995
64,"Fort Monmouth , NJ",2/17/1953,Nebraska,Retired,6,74,"Lee, John",,255,1976 - 1981
30,"Davenport , IA",3/22/1987,Northern Iowa,Active,8,79,"Howard, Austin",OT,330,
62,"Kansas City , MO",12/2/1954,Kansas,Retired,1,74,"Golub, Chris",,196,1977 - 1977
70,"Northville , MI",10/11/1946,Eastern Michigan,Retired,1,70,"Grady, Garry",,185,1969 - 1969
24,"Pensacola , FL",2/26/1993,Louisville,Active,2,77,"Mount, Deiontrez",LB,249,
,"Boston , MA",10/24/1895,Washington & Lee,Retired,7,70,"Pierotti, Al",,204,1920 - 1929
,"Racine , WI",4/4/1929,Wisconsin,Retired,4,73,"Albright, Bill",,233,1951 - 1954
,"Wilkinsburg , PA",4/15/1923,Penn State,Retired,1,70,"Jaffurs, Johnny",,200,1946 - 1946
58,"Mount Pleasant , TX",12/30/1958,Texas-Arlington,Retired,4,77,"Lewis, Gary",,234,1981 - 1984
29,,5/15/1988,Baylor,Retired,1,71,"Finley, Jay",,203,2011 - 2011
27,"New Orleans , LA",10/25/1989,LSU,Active,3,73,"Breaux, Delvin",CB,196,
34,"Tampa , FL",6/18/1982,Ohio State,Retired,1,76,"Jenkins, Michael",,214,2004 - 2013
36,"Fort Ord , CA",10/2/1980,Virginia,Retired,1,70,"Weeks, Marquis",,216,2006 - 2007
24,"Dallas , TX",1/13/1993,Texas Christian,Active,2,72,"Dawson, P.J.",LB,240,
,"Tucumcari , NM",11/5/1937,New Mexico State,Retired,8,71,"Villanueva, Danny",,200,1960 - 1967
74,"Vicksburg , MS",6/25/1942,Alcorn State,Retired,2,72,"Reed, Smith",,215,1965 - 1966
32,"Canton , OH",11/4/1984,Ohio State,Retired,3,78,"Barton, Kirk",,300,2008 - 2010
28,"Jefferson Hills , PA",9/11/1988,Pittsburgh,Retired,4,75,"DeCicco, Dom",,235,2011 - 2014
75,"Ann Arbor , MI",8/31/1941,Michigan,Retired,7,74,"O'Donnell, Joe",,262,1964 - 1971
79,"Moab , UT",4/22/1938,Utah,Retired,2,74,"Bailey, Monk",,180,1964 - 1965
30,"Bettendorf , IA",1/31/1987,Iowa,Retired,5,72,"Angerer, Pat",,236,2010 - 2014
38,Bremerhaven Germany,1/8/1979,Texas,Retired,8,73,"Lewis, D.D.",,241,2002 - 2009
,"Akron , OH",2/22/1902,Syracuse,Retired,1,72,"Baysinger, Reaves",,180,1924 - 1924
52,"Cleburne , TX",8/12/1964,Tulsa,Retired,1,73,"Warren, Xavier",,250,1987 - 1987
,"Dewey Twp. , WI",9/26/1894,Wisconsin,Retired,6,74,"Scott, Ralph",,235,1921 - 1927
34,,1/28/1983,Virginia,Retired,1,78,"Barthelmes, Brian",,300,2006 - 2007
27,"Decatur , AL",11/15/1989,Alabama,Active,5,72,"Tinker, Carson",LS,239,
55,"Crowley , TX",2/18/1962,Northwestern State-Louisiana,Retired,9,76,"Reasons, Gary",,235,1984 - 1992
59,"Gray , GA",10/31/1957,Georgia Tech,Retired,2,71,"Patterson, Don",,175,1979 - 1980
24,"Greenwood , MS",3/12/1993,Auburn,Active,1,71,"Whitehead, Jermaine",FS,195,
25,"Goose Creek , SC",2/6/1992,South Carolina,Active,2,77,"Shell, Brandon",OT,324,
52,"Silver Spring , MD",7/28/1964,Tulsa,Retired,1,75,"Alexander, David",,285,1987 - 1996
28,Heilburg Germany,12/24/1988,Texas State,Retired,1,73,"Hall, D.J.",,312,2012 - 2012
31,"Fullerton , CA",4/22/1986,California-Irvine,Active,4,79,"Fells, Darren",TE,281,
29,,1/10/1988,Georgia,Retired,1,71,"King, Caleb",,212,2011 - 2011
,"Hood Co. , TX",12/13/1935,Houston,Retired,4,74,"Wharton, Hogan",,250,1960 - 1963
48,"Marietta , GA",9/13/1968,Florida State,Retired,1,77,"Johnson, Brad",,235,1992 - 2008
25,"West Palm Beach , FL",11/22/1991,North Carolina,Active,5,69,"Bernard, Giovani",RB,205,
36,"Irving , TX",5/21/1981,San Jose State,Retired,3,73,"Thompson, Tyson",,225,2005 - 2007
43,"Crowley , LA",10/19/1973,Cincinnati,Retired,9,71,"Tate, Robert",,194,1997 - 2006
,Fort William Scotland,10/7/1900,No College,Retired,2,,"Lang, Chick",,195,1927 - 1929
,"Albany , GA",8/15/1935,Presbyterian,Retired,6,71,"Webb, Ken",,207,1958 - 1963
27,"Granger , IN",7/29/1989,Notre Dame,Retired,3,75,"Cave, Braxston",,305,2013 - 2015
62,"Chatom , AL",4/6/1955,LSU,Retired,1,73,"Jackson, Steve",,192,1977 - 1977
39,"Santa Ana , CA",11/5/1977,USC,Retired,4,73,"Gibson, David",,210,2000 - 2003
58,"Albany , GA",12/13/1958,Tennessee State,Retired,2,77,"Laster, Don",,285,1982 - 1984
47,"Ducktown , TN",12/22/1969,North Alabama,Retired,2,72,"Satterfield, Brian",,225,1995 - 1996
30,"Carlisle , AR",5/11/1987,Arkansas,Retired,3,75,"Petrus, Mitch",,315,2010 - 2012
66,"Oklahoma City , OK",11/18/1950,Oklahoma,Retired,6,74,"Chandler, Al",,233,1973 - 1979
36,"Oklahoma City , OK",5/1/1981,Texas Tech,Retired,1,69,"Welker, Wes",,185,2004 - 2015
67,"South Bend , IN",9/8/1949,Florida State,Retired,1,78,"Gaydos, Kent",,225,1975 - 1975
87,"Drumright , OK",6/15/1929,Texas Tech,Retired,1,70,"Arterburn, Elmer",,175,1954 - 1954
26,"Mcpherson , KS",12/5/1990,Wisconsin,Retired,3,70,"Ball, Montee",,215,2013 - 2015
38,"Woodbridge , NJ",12/15/1978,Syracuse,Retired,5,72,"Johnson, Kyle",,242,2002 - 2007
75,"Los Gatos , CA",6/11/1941,Colorado,Retired,2,75,"Fairband, Bill",,228,1967 - 1968
70,"Youngstown , OH",10/17/1946,Dayton,Retired,3,72,"Richardson, Pete",,193,1969 - 1971
24,"Rochester , NY",10/30/1992,Rutgers,Active,1,72,"Gause, Quentin",LB,243,
35,"Roanoke Rapids , NC",6/7/1982,Rutgers,Retired,4,76,"Parker, J'Vonne",,325,2005 - 2009
30,"Fort Belvoir , VA",7/25/1986,Iowa State,Active,1,74,"Rubin, Ahtyba",DT,310,
,"Naperville , IL",8/18/1918,Northwestern,Retired,2,74,"Haman, Jack",,215,1940 - 1941
38,"Rockdale , TX",11/15/1978,Texas Tech,Retired,2,76,"Kocurek, Kris",,293,2001 - 2002
50,Lomma Sweden,7/26/1966,Appalachian State,Retired,1,71,"Nittmo, Bjorn",,185,1989 - 1989
,"Greenup , KY",5/4/1914,Kentucky,Retired,5,73,"Davis, Bob",,180,1938 - 1946
32,,10/25/1984,Fresno State,Retired,0,70,"Fernandez, Joe",,175,2007 - 2007
,"Philadelphia , PA",3/26/1919,Charleston (WV),Retired,1,69,"Seltzer, Harry",,195,1942 - 1942
45,"Philadelphia , PA",5/22/1972,Lehigh,Retired,8,78,"Owens, Rich",,287,1995 - 2002
39,"Endicott , NY",10/3/1977,Harvard,Retired,7,73,"Kacyvenski, Isaiah",,252,2000 - 2006
51,"Washington , DC",4/10/1966,Maryland,Retired,1,73,"Scott, Sean",,226,1988 - 1988
58,"Charleston , SC",6/28/1958,Virginia Union,Retired,5,71,"Barnwell, Malcolm",,184,1981 - 1985
,"Franks , OH",11/14/1907,Geneva,Retired,1,71,"Davis, Red",,195,1933 - 1933
57,"Clinton , NC",2/24/1960,North Carolina State,Retired,5,73,"Owens, Dennis",,257,1982 - 1986
36,American Samoa,8/29/1980,Utah,Retired,2,73,"Sape, Lauvale",,296,2003 - 2007
81,"Moss Point , MS",9/14/1935,Tulane,Retired,1,75,"Khayat, Ed",,240,1957 - 1966
53,"Toledo , OH",12/23/1963,Michigan,Retired,1,75,"Harbaugh, Jim",,215,1987 - 2001
75,"Pittsburgh , PA",6/16/1941,Penn State,Retired,1,74,"Kochman, Roger",,205,1963 - 1963
51,"Delhi , NY",7/28/1965,Boston College,Retired,1,76,"Oliver, Jeff",,292,1989 - 1989
73,"Shreveport , LA",11/8/1943,Louisiana Tech,Retired,1,76,"Lee, David",,230,1966 - 1978
62,"Oklahoma City , OK",8/28/1954,Pittsburgh,Retired,3,71,"Farmer, Karl",,165,1976 - 1978
35,,1/22/1982,UCLA,Retired,1,78,"Vieira, Steven",,316,2005 - 2007
61,Barbados,11/10/1955,Baker,Retired,1,75,"Farmer, Roger",,195,1979 - 1979
59,"Crystal , MN",5/22/1958,Minnesota,Retired,6,74,"Schuh, Jeff",,228,1981 - 1986
29,"Houston , TX",11/6/1987,Villanova,Retired,3,76,"Harvey, Brandyn",,205,2010 - 2012
71,"Columbus , OH",7/3/1945,Tennessee,Retired,1,73,"Naumoff, Paul",,215,1967 - 1978
38,"Lake City , FL",7/25/1978,Florida,Retired,1,76,"Warren, Gerard",,330,2001 - 2012
63,"San Antonio , TX",1/28/1954,Georgia Tech,Retired,1,75,"Tierney, Leo",,248,1978 - 1978
,"Middleboro , MA",6/19/1911,Fordham,Retired,1,74,"Uzdavinis, Walt",,210,1937 - 1937
,"Grand Rapids , MI",8/10/1935,Michigan,Retired,9,72,"Barr, Terry",,189,1957 - 1965
102,"New York , NY",12/21/1914,North Carolina State,Retired,4,73,"Mark, Lou",,210,1938 - 1945
38,Lagos Nigeria,3/4/1979,Maryland,Retired,2,71,"Okanlawon, Tony",,187,2002 - 2003
69,"Pittsburgh , PA",4/15/1948,Dayton,Retired,2,74,"Ellison, Mark",,250,1972 - 1973
61,"Wadmalaw Island , SC",8/31/1955,South Carolina State,Retired,1,75,"Rivers, Nate",,215,1980 - 1980
,,6/20/1910,Washington & Jefferson,Retired,1,72,"Shaffer, George",,190,1933 - 1933
36,,11/22/1980,Arkansas,Retired,2,76,"Lacy, Bo",,300,2004 - 2007
28,"Chicago , IL",10/4/1988,California,Retired,2,74,"Cattouse, Sean",,210,2012 - 2013
29,"Oak Park , IL",2/17/1988,Illinois State,Retired,1,75,"Venson, Brandon",,245,2012 - 2012
,"Rochelle , IL",8/26/1930,Iowa State,Retired,9,72,"Campbell, Stan",,226,1952 - 1962
,"Homestead , FL",2/20/1958,Tulane,Retired,2,76,"Pitcock, Chuck",,272,1985 - 1987
26,"Thibodaux , LA",12/24/1990,Louisiana Tech,Active,5,77,"Mills, Jordan",OT,316,
,"Lancaster , SC",4/12/1936,South Carolina,Retired,8,74,"Addison, Tommy",,230,1960 - 1967
72,"Savannah , GA",5/7/1945,Tennessee,Retired,1,72,"Warren, Dewey",,205,1968 - 1968
80,"Breckenridge , MN",10/9/1936,Idaho,Retired,3,75,"Anderson, Art",,244,1961 - 1963
79,"St. Louis , MO",7/11/1937,Utah State,Retired,1,71,"Allen, Buddy",,193,1961 - 1961
56,"Rotan , TX",3/17/1961,Texas,Retired,1,70,"Acorn, Fred",,185,1984 - 1984
24,"West Monroe , LA",5/10/1993,Louisiana Tech,Active,2,70,"Turner, Paul",WR,193,
,"Salesville , OH",11/17/1897,Denison,Retired,1,70,"Thompson, Dave",,215,1921 - 1921
85,"Rudy , AR",3/26/1932,Arkansas,Retired,3,73,"Sagely, Floyd",,191,1954 - 1957
28,"Maywood , NJ",8/28/1988,Florida,Unsigned free agent,6,76,"Trattou, Justin",DE,258,
70,"Silver City , NM",7/23/1946,San Diego State,Retired,2,73,"Ogas, Dave",,225,1968 - 1969
43,"Houston , TX",8/26/1973,Texas Christian,Retired,9,75,"Robbins, Barret",,320,1995 - 2003
48,"Freeport , TX",5/22/1969,Texas,Retired,2,77,"Johnson, Chuck",,280,1992 - 1993
,"Shawnee , OK",12/1/1918,Tulsa,Retired,1,72,"Gentry, Lee",,198,1941 - 1941
,"Chelsea , MA",5/10/1925,Boston College,Retired,3,72,"King, Ed",,217,1948 - 1950
25,"Frostproof , FL",1/17/1992,USC,Active,5,68,"Robey-Coleman, Nickell",DB,165,
42,"Ashland , OH",9/17/1974,Ashland,Retired,3,69,"Seder, Tim",,185,2000 - 2002
57,"Southampton , NY",5/25/1960,Penn State,Retired,1,75,"Farrell, Sean",,260,1982 - 1992
30,,1/25/1987,Texas Christian,Retired,2,72,"Young, Jimmy",,204,2011 - 2012
26,"Houston , TX",12/21/1990,LSU,Active,6,77,"Brockers, Michael",DT,326,
25,,10/1/1991,Oklahoma,Retired,1,67,"Finch, Roy",,180,2014 - 2014
,"Oberlin , KS",7/8/1916,Kansas State,Retired,7,74,"Hackney, Elmer",,205,1940 - 1946
38,"Shreveport , LA",6/30/1978,Louisiana-Monroe,Retired,5,72,"Dennis, Pat",,203,2000 - 2004
53,"Detroit , MI",1/10/1964,Central Michigan,Retired,1,70,"Elliott, Tony",,195,1987 - 1987
47,"Fort Thomas , KY",4/2/1970,Nevada-Las Vegas,Retired,5,78,"Reynolds, Jerry",,320,1994 - 1998
,"Chicago , IL",11/12/1895,Notre Dame,Retired,3,68,"Malone, Grover",,185,1920 - 1923
75,"Philadelphia , PA",5/20/1942,Morgan State,Retired,1,72,"Kelly, Leroy",,202,1964 - 1973
59,"Fort Dix , NJ",9/15/1957,Kansas,Retired,1,71,"Irvin, LeRoy",,184,1980 - 1990
,"Emmetsburg , IA",3/29/1908,Iowa,Retired,1,68,"Jensvold, Leo",,173,1931 - 1931
48,"Chicago , IL",1/25/1969,Indiana,Retired,1,77,"Harrison, Nolan",,289,1991 - 2000
,"Rockville Centre , NY",10/8/1927,Georgetown,Retired,6,76,"Ricca, Jim",,270,1951 - 1956
43,,1/1/1974,Boston College,Retired,2,76,"Nori, Mark",,307,1997 - 1998
,"Youngstown , OH",12/12/1913,Ohio State,Retired,1,74,"Ream, Chuck",,225,1938 - 1938
,"Rowden , TX",6/27/1934,Baylor,Retired,3,74,"Taylor, Jim",,232,1956 - 1958
48,Tofoa Tonga,1/15/1969,Washington,Retired,8,77,"Malamala, Siupeli",,305,1992 - 1999
24,"Atlanta , GA",3/15/1993,Old Dominion,Active,3,73,"Heinicke, Taylor",QB,210,
,"Winsted , CT",2/8/1901,Iowa,Retired,1,71,"Kadesky, Max",,175,1923 - 1923
,,6/18/1938,Michigan,Retired,1,73,"Harper, Darrell",,195,1960 - 1960
62,"Los Angeles , CA",3/22/1955,Washington,Retired,9,74,"Jackson, Charles",,225,1978 - 1986
29,"Long Island , NY",3/1/1988,Syracuse,Retired,1,74,"Weaver, Aaron",,220,2012 - 2012
,"Bald Knob , AR",8/7/1914,LSU,Retired,2,68,"Reed, Rock",,173,1937 - 1939
79,"Lexington , MS",5/1/1938,Oregon,Retired,9,70,"West, Willie",,190,1960 - 1968
99,,2/5/1918,No College,Retired,1,74,"Thuerk, Owen",,192,1941 - 1941
41,"Lacoochee , FL",8/30/1975,South Carolina,Retired,5,74,"Hambrick, Darren",,227,1998 - 2002
,"Mcville , ND",2/13/1908,North Dakota,Retired,1,69,"MacMillan, Stu",,175,1931 - 1931
79,"Houston , TX",8/10/1937,UCLA,Retired,1,73,"Norris, Trusse",,194,1960 - 1960
42,"Cedar Rapids , IA",9/29/1974,Northern Iowa,Retired,8,69,"Ward, Dedric",,189,1997 - 2004
41,"Dallas , TX",6/10/1975,Kansas State,Retired,9,74,"Jacox, Kendyl",,325,1998 - 2006
40,"Union City , OH",6/15/1976,Penn State,Retired,3,72,"Enis, Curtis",,250,1998 - 2000
69,"Iowa City , IA",12/19/1947,Iowa,Retired,3,73,"Ely, Larry",,230,1970 - 1975
,"Oskaloosa , IA",5/27/1988,Iowa,Retired,3,72,"Sash, Tyler",,215,2011 - 2013
54,"Suffolk , VA",4/7/1963,Elizabeth City State,Retired,9,74,"Langhorne, Reggie",,195,1985 - 1993
66,"San Fernando , CA",11/13/1950,USC,Retired,1,75,"Gallaher, Allen",,250,1974 - 1974
31,"Keller , TX",5/16/1986,Oklahoma,Retired,8,68,"Hartley, Garrett",,195,2008 - 2015
55,"Hershey , PA",4/15/1962,Purdue,Retired,6,72,"Campbell, Scott",,196,1984 - 1990
27,,5/25/1990,Shenandoah (Va.),Retired,1,75,"Wallace, Rico",,215,2012 - 2012
38,"Phoenix , AZ",11/27/1978,Northern Arizona,Retired,5,71,"Perryman, Raymond",,195,2001 - 2005
33,,9/5/1983,North Carolina State,Retired,1,76,"Deraney, John",,224,2007 - 2007
42,"Clifton Springs , NY",2/12/1975,Cornell,Retired,1,76,"Payne, Seth",,303,1997 - 2007
42,"Gainesville , FL",2/2/1975,East Carolina,Retired,3,76,"Shannon, Larry",,210,1998 - 2000
32,"Savannah , GA",7/27/1984,Howard,Active,1,71,"Bethea, Antoine",SS,206,
,"Omaha , NE",7/29/1900,Nebraska,Retired,2,74,"Noble, Dave",,195,1924 - 1925
44,"Los Angeles , CA",11/9/1972,Washington State,Retired,1,74,"Fields, Mark",,244,1995 - 2004
30,"Los Angeles , CA",9/5/1986,Arizona,Retired,6,73,"Ness, Nate",,190,2009 - 2015
,"Camden , NJ",8/8/1908,Villanova,Retired,4,68,"Zizak, Vince",,208,1934 - 1937
51,"Lynn , MA",7/30/1965,Ohio State,Retired,1,71,"Gordon, Sonny",,192,1987 - 1987
64,"Latrobe , PA",11/7/1952,Penn State,Retired,4,77,"Markovich, Mark",,256,1974 - 1977
70,"Chicago , IL",7/16/1946,USC,Retired,1,77,"Yary, Ron",,255,1968 - 1982
27,"Hoffman Estates , IL",12/29/1989,Kent State,Active,5,75,"Kline, Josh",OG,300,
,"Ashland , KY",4/12/1936,Ohio State,Retired,2,76,"Scott, Jack",,260,1960 - 1961
27,"Hermitage , TN",1/30/1990,Ouachita Baptist,Active,4,77,"Supernaw, Phillip",TE,248,
73,"Du Bois , PA",1/16/1944,North Carolina State,Retired,1,72,"Deters, Harold",,200,1967 - 1967
26,"Westbury , NY",2/25/1991,Connecticut,Active,4,77,"Stephen, Shamar",DT,310,
77,"Kenton , TN",3/30/1940,Tennessee-Martin,Retired,1,71,"Fowler, Bobby",,212,1962 - 1962
37,"Boone County , MO",8/27/1979,Missouri,Retired,1,77,"Farmer, Kirk",,218,2003 - 2003
27,"Houston , TX",3/31/1990,Boise State,Active,6,76,"Iloka, George",FS,225,
48,"Cincinnati , OH",1/11/1969,Toledo,Retired,7,70,"Anderson, Darren",,189,1992 - 1998
86,"Dallas , TX",4/14/1931,Southern Methodist,Retired,4,72,"Forester, Herschel",,230,1954 - 1957
97,"Fessenden , ND",12/14/1919,Minnesota,Retired,1,73,"Lechner, Ed",,200,1942 - 1942
34,"Walnut Creek , CA",7/10/1982,Northwest Missouri State,Retired,7,76,"Tollefson, Dave",,260,2006 - 2012
59,"Erie , PA",9/3/1957,Kansas State,Retired,3,74,"Manucci, Dan",,196,1979 - 1987
,"Fairhaven , MA",4/2/1900,Tufts,Retired,1,68,"Etelman, Carl",,160,1926 - 1926
54,,4/16/1963,West Chester,Retired,1,76,"Schippang, Gary",,254,1987 - 1987
,"Chicago , IL",12/7/1919,Purdue,Retired,1,70,"Galvin, John",,170,1947 - 1947
29,,4/11/1988,Norfolk State,Retired,1,76,"Ford, Calton",,319,2011 - 2011
,"Lebanon , WI",9/12/1900,No College,Retired,1,73,"Baumann, Buddy",,190,1922 - 1922
49,"Lompoc , CA",6/22/1967,Texas State,Retired,7,68,"Johnson, A.J.",,175,1989 - 1995
68,"Houston , TX",11/27/1948,Tennessee State,Retired,1,69,"Thomas, Charlie",,180,1975 - 1975
24,"San Antonio , TX",10/15/1992,Texas Christian,Active,1,71,"Green, Aaron",RB,201,
27,"Northridge , CA",1/16/1990,UCLA,Retired,3,79,"Fauria, Joseph",,267,2013 - 2015
38,"Cassatt , SC",11/6/1978,Nevada,Retired,1,78,"Jackson, Corey",,270,2004 - 2006
25,"Lake Hamilton , FL",1/19/1992,Delaware State,Active,3,77,"Gunter, Rodney",DE,305,
28,"Gary , IN",1/16/1989,South Carolina,Retired,4,77,"Saunders, Weslye",,261,2011 - 2014
53,"Boston , MA",11/30/1963,UCLA,Retired,1,76,"Norrie, David",,220,1987 - 1987
49,"Winston Salem , NC",12/9/1967,North Carolina State,Retired,1,75,"Agnew, Ray",,285,1990 - 2000
,,,West Virginia State,Retired,1,74,"Bailey, Jim",,215,1949 - 1949
34,,1/2/1983,Dubuque,Retired,1,71,"Peterson, Daunta",,200,2007 - 2007
,"Corpus Christi , TX",11/29/1964,Texas A&M,Retired,7,76,"Kelm, Larry",,230,1987 - 1993
52,"Canton , OH",11/3/1964,Michigan,Retired,1,73,"Rivers, Garland",,181,1987 - 1987
58,"Jefferson , TX",12/3/1958,Houston,Retired,2,77,"Taylor, Hosea",,255,1981 - 1983
,"Crystal River , FL",8/23/1907,Florida,Retired,2,71,"Goodbread, Royce",,207,1930 - 1931
75,"New Bern , NC",2/10/1942,North Carolina Central,Retired,5,72,"Martin, Aaron",,190,1964 - 1968
,"New York , NY",8/7/1903,Canisius,Retired,1,69,"Salemi, Sam",,180,1928 - 1928
23,"Austell , GA",3/19/1994,Vanderbilt,Active,2,77,"Weatherly, Stephen",DE,265,
,"Newark , NJ",9/11/1976,Temple,Retired,5,76,"Chanoine, Roger",,305,1998 - 2002
38,"Omaha , NE",10/13/1978,Utah State,Retired,1,81,"Newton, Jim",,297,2003 - 2003
34,"Phoenix , AZ",4/23/1983,Arizona,Retired,6,72,"Bell, Mike",,225,2006 - 2011
65,"Dallas , TX",10/17/1951,Southern Methodist,Retired,4,78,"Roan, Oscar",,215,1975 - 1978
63,"Dickinson , ND",5/15/1954,Minnesota,Retired,6,73,"Beaudoin, Doug",,193,1976 - 1981
48,"Lake Wells , FL",7/6/1968,Tennessee,Retired,8,76,"Harper, Alvin",,218,1991 - 1999
40,"New Orleans , LA",12/7/1976,LSU,Retired,1,77,"Faneca, Alan",,316,1998 - 2010
31,"Nashville , TN",9/14/1985,Auburn,Unsigned free agent,1,81,"Dunlap, King",T,330,
26,,10/4/1990,Eastern Kentucky,Retired,0,77,"Ariguzo, Ike",,214,2014 - 2014
,"Chester , SC",1/15/1927,Clemson,Retired,2,71,"Gage, Bobby",,175,1949 - 1950
66,"San Francisco , CA",1/10/1951,Prairie View A&M,Retired,2,76,"Neal, Louis",,215,1973 - 1974
58,"Milwaukee , WI",5/28/1959,Wisconsin,Retired,2,75,"Levenick, Dave",,222,1983 - 1984
49,,9/13/1967,Miami (Fla.),Retired,1,75,"Kalal, Tim",,205,1993 - 1993
54,"Long Beach , CA",12/27/1962,Oregon,Retired,3,68,"Barnes, Lew",,163,1986 - 1989
,"Fremont , MI",1/30/1933,Michigan State,Retired,3,70,"Zagers, Bert",,185,1955 - 1958
27,,4/24/1990,Belhaven College,Retired,1,81,"Hall, Matt",,324,2014 - 2014
38,"Lubbock Co. , TX",5/9/1979,Oklahoma State,Retired,2,74,"Levels, Dwayne",,259,2002 - 2003
45,"Ocala , FL",11/9/1971,Rowan,Retired,4,74,"Rhem, Steve",,212,1994 - 1997
39,"Hinsdale , IL",12/23/1977,Iowa,Retired,6,73,"Kasper, Kevin",,200,2001 - 2008
,", OH",3/3/1896,Pennsylvania,Retired,1,73,"Dieter, Herb",,195,1922 - 1922
,"Omaha , NE",11/2/1927,San Francisco,Retired,1,73,"Davlin, Mike",,230,1955 - 1955
47,"Granada Hills , CA",6/4/1970,Oregon,Retired,7,71,"Harris, Ronnie",,185,1993 - 1999
36,,1/25/1981,Virginia Tech,Retired,1,75,"Adibi, Nathaniel",,249,2005 - 2007
,"Muskegon , MI",2/24/1931,Michigan State,Retired,1,77,"Dekker, Paul",,220,1953 - 1953
28,"Deerfield Beach , FL",1/1/1989,South Florida,Active,8,77,"Pierre-Paul, Jason",DE,278,
39,"Richmond , CA",12/29/1977,Akron,Retired,2,73,"Mackey, Louis",,225,2001 - 2002
88,"Clyde , TX",11/22/1928,North Texas,Retired,1,75,"Armstrong, Quincy",,230,1954 - 1954
64,"Oklahoma City , OK",9/19/1952,Louisiana-Monroe,Retired,1,69,"Edwards, Jimmy",,185,1979 - 1979
114,"Hunt Co. , TX",12/20/1902,Texas Christian,Retired,1,66,"Roach, Rollin",,145,1927 - 1927
68,"Yoakum , TX",12/2/1948,Houston,Retired,1,75,"Hall, Charlie",,220,1971 - 1980
,"Greenville , MS",7/17/1950,Jackson State,Retired,1,77,"Richardson, Ernie",,225,1974 - 1974
52,"Teaneck , NJ",4/17/1965,Louisiana-Lafayette,Retired,1,73,"DeForest, Joe",,240,1987 - 1987
36,Lagos Nigeria,11/21/1980,California,Retired,5,70,"Echemandu, Adimchinobe",,225,2004 - 2008
45,"East Machias , ME",7/23/1971,Cincinnati,Retired,3,74,"Dingle, Nate",,245,1995 - 1997
36,"Lafayette , LA",11/24/1980,Louisiana Tech,Retired,6,74,"Eugene, Hiram",,200,2006 - 2011
24,"Athens , TX",10/30/1992,Texas Tech,Active,2,67,"Grant, Jakeem",WR,172,
,"Greenville , TX",11/4/1911,Kansas State,Retired,1,75,"Maddox, Buster",,240,1935 - 1935
,"Morris , OK",7/5/1921,Oklahoma City,Retired,1,75,"Schilling, Ralph",,218,1946 - 1946
41,"Los Gatos , CA",11/22/1975,UCLA,Retired,7,76,"Neufeld, Ryan",,245,1999 - 2007
37,"Riverdale , IL",8/17/1979,Indiana,Retired,9,70,"Randle El, Antwaan",,185,2002 - 2010
71,"Danvers , MA",5/30/1946,Boston U.,Retired,2,71,"Farley, Dick",,185,1968 - 1969
56,"Ann Arbor , MI",1/11/1961,Michigan,Retired,5,72,"Haji-Sheikh, Ali",,172,1983 - 1987
59,"Kermit , TX",2/21/1958,Texas-El Paso,Retired,1,72,"Thompson, Del",,203,1982 - 1982
27,,12/28/1989,Pittsburgh,Retired,1,76,"Shanahan, Mike",,241,2013 - 2013
74,"Bartow , FL",2/20/1943,Florida A&M,Retired,1,73,"James, Nate",,195,1968 - 1968
43,"Pottstown , PA",7/7/1973,West Virginia,Retired,9,72,"Beasley, Aaron",,205,1996 - 2004
29,"San Diego , CA",3/16/1988,California,Active,5,72,"Ross, Jeremy",WR,215,
83,"Catarina , TX",11/4/1933,Texas,Retired,6,74,"Lansford, Buck",,232,1955 - 1960
